,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wabag,-5.48,143.7,13.85,94,100,0.13,PG,1592356252
1,busselton,-33.65,115.33,17.22,56,46,13.4,AU,1592356252
2,albany,42.6,-73.97,22.78,51,0,0.8,US,1592356252
3,port alfred,-33.59,26.89,13.33,82,0,2.24,ZA,1592356252
4,tecoanapa,16.52,-98.75,28.88,72,0,2.77,MX,1592356253
5,cabo san lucas,22.89,-109.91,32.0,25,20,6.2,MX,1592356192
6,alappuzha,9.49,76.33,26.01,85,100,1.37,IN,1592356253
7,ushuaia,-54.8,-68.3,3.0,86,75,9.8,AR,1592355964
8,bluff,-46.6,168.33,8.36,80,100,7.63,NZ,1592356253
9,bethel,41.37,-73.41,21.0,52,1,2.1,US,1592356253
10,vaini,-21.2,-175.2,25.0,65,20,5.1,TO,1592356254
11,mataura,-46.19,168.86,7.0,93,100,3.71,NZ,1592356254
12,oussouye,12.48,-16.55,28.0,88,40,3.1,SN,1592356254
13,tuktoyaktuk,69.45,-133.04,17.0,59,75,3.6,CA,1592356254
14,faya,18.39,42.45,22.0,22,0,0.9,SA,1592356254
15,esperance,-33.87,121.9,13.0,36,81,10.3,AU,1592355975
16,kichmengskiy gorodok,59.98,45.79,10.02,92,93,3.71,RU,1592356254
17,cape town,-33.93,18.42,9.44,93,0,2.1,ZA,1592356255
18,puerto ayora,-0.74,-90.35,22.22,89,62,0.45,EC,1592356255
19,thompson,55.74,-97.86,27.0,28,75,4.1,CA,1592355834
20,new norfolk,-42.78,147.06,8.33,83,80,0.45,AU,1592356255
21,akureyri,65.68,-18.09,7.0,81,20,2.1,IS,1592356255
22,airai,-8.93,125.41,19.5,76,22,2.85,TL,1592356256
23,ahipara,-35.17,173.17,17.03,74,97,4.54,NZ,1592356256
24,arawa,-6.21,155.54,30.05,64,62,0.68,PG,1592356256
25,san policarpo,12.18,125.51,29.31,70,100,1.56,PH,1592356256
26,daru,-9.08,143.21,26.3,82,100,7.76,PG,1592356256
27,arlit,18.74,7.39,33.43,14,0,4.3,NE,1592356256
28,starkville,33.45,-88.82,28.0,53,1,2.0,US,1592356257
29,mahebourg,-20.41,57.7,21.0,83,75,6.7,MU,1592356257
30,lima,-12.04,-77.03,17.0,82,20,4.6,PE,1592355790
31,tuatapere,-46.13,167.68,7.95,80,100,4.67,NZ,1592356257
32,mamou,10.5,-12.0,21.24,89,100,1.55,GN,1592356257
33,atuona,-9.8,-139.03,26.83,76,13,8.64,PF,1592356257
34,rocha,-34.48,-54.33,16.03,94,0,3.77,UY,1592356258
35,barroquinha,-3.02,-41.14,23.46,93,2,2.01,BR,1592356258
36,georgetown,5.41,100.34,29.0,94,20,1.5,MY,1592355671
37,port hedland,-20.32,118.57,24.0,50,0,4.1,AU,1592356258
38,gamba,-2.65,10.0,22.79,92,100,2.51,GA,1592356258
39,hobart,-42.88,147.33,8.89,70,20,3.6,AU,1592356189
40,isangel,-19.55,169.27,27.0,74,40,7.7,VU,1592356259
41,hithadhoo,-0.6,73.08,29.19,75,90,5.05,MV,1592356259
42,butaritari,3.07,172.79,28.41,80,16,4.75,KI,1592356259
43,nishihara,26.18,127.76,30.0,83,75,8.2,JP,1592356260
44,katobu,-4.94,122.53,27.69,76,13,4.27,ID,1592356260
45,victoria,22.29,114.16,31.11,74,0,4.02,HK,1592355573
46,jamestown,42.1,-79.24,20.0,52,20,4.1,US,1592355991
47,hambantota,6.12,81.12,27.0,100,20,4.1,LK,1592356260
48,kodiak,57.79,-152.41,11.0,87,90,9.8,US,1592356260
49,hermanus,-34.42,19.23,13.33,77,0,1.34,ZA,1592356260
50,chapada dos guimaraes,-15.46,-55.75,24.0,64,0,1.0,BR,1592356260
51,yellowknife,62.46,-114.35,18.0,45,20,6.7,CA,1592356213
52,turkistan,43.0,68.0,18.31,39,0,4.99,KZ,1592356261
53,sobolevo,54.43,31.9,15.89,95,0,1.91,RU,1592356261
54,east london,-33.02,27.91,14.74,73,0,4.0,ZA,1592356262
55,chokurdakh,70.63,147.92,27.27,30,100,4.82,RU,1592356262
56,esso,55.93,158.7,18.31,46,97,2.23,RU,1592356262
57,penzance,50.12,-5.54,14.0,93,64,2.6,GB,1592356262
58,evensk,61.95,159.23,10.04,87,100,1.61,RU,1592356263
59,kauhajoki,62.43,22.18,13.33,76,9,0.5,FI,1592356263
60,miracema do tocantins,-9.56,-48.4,22.9,61,0,1.54,BR,1592356189
61,kapaa,22.08,-159.32,29.0,66,75,6.7,US,1592356263
62,dikson,73.51,80.55,0.06,94,100,6.51,RU,1592356263
63,rikitea,-23.12,-134.97,24.16,79,0,7.13,PF,1592356263
64,fallon,39.47,-118.78,26.0,11,40,12.9,US,1592356161
65,kiunga,-6.12,141.29,23.5,98,100,1.38,PG,1592356263
66,asau,46.43,26.4,17.22,100,100,0.5,RO,1592356263
67,cam ranh,11.92,109.16,30.0,74,20,0.5,VN,1592356264
68,port blair,11.67,92.75,27.73,79,100,4.92,IN,1592356264
69,klaksvik,62.23,-6.59,9.0,93,100,7.7,FO,1592356264
70,ust-maya,60.42,134.53,23.03,36,0,2.5,RU,1592356264
71,tromso,69.65,18.96,5.0,86,0,4.6,NO,1592356126
72,basco,20.45,121.97,29.1,77,4,6.36,PH,1592356265
73,tasiilaq,65.61,-37.64,4.0,80,100,8.2,GL,1592356265
74,lahaina,20.88,-156.68,30.0,88,75,10.3,US,1592356088
75,avarua,-21.21,-159.78,24.0,57,0,4.1,CK,1592356265
76,nalut,30.33,10.85,22.98,23,0,4.7,LY,1592356265
77,salalah,17.02,54.09,29.0,89,75,0.5,OM,1592356001
78,roros,62.57,11.38,10.0,100,98,1.5,NO,1592356266
